vg (param),/M0/D (A)
100.0E-3,103.6E-9
150.0E-3,546.6E-9
200.0E-3,2.501E-6
250.0E-3,8.483E-6
300.0E-3,20.09E-6
350.0E-3,36.41E-6
400.0E-3,56.16E-6
450.0E-3,78.48E-6
500.0E-3,102.8E-6
550.0E-3,128.6E-6
600.0E-3,155.6E-6
650.0E-3,183.5E-6
700.0E-3,212.3E-6
750.0E-3,241.8E-6
800.0E-3,271.7E-6
850.0E-3,302.0E-6
900.0E-3,332.7E-6
950.0E-3,363.7E-6
1.000,395.0E-6
1.050,426.6E-6
1.100,458.4E-6
1.150,490.4E-6
1.200,522.6E-6
1.250,554.9E-6
1.300,587.4E-6
1.350,620.0E-6
1.400,652.7E-6
1.450,685.6E-6
1.500,718.5E-6
1.550,751.5E-6
1.600,784.6E-6
1.650,817.7E-6
1.700,851.0E-6
1.750,884.3E-6
1.800,917.6E-6
1.850,951.0E-6
1.900,984.4E-6
1.950,1.018E-3
2.000,1.051E-3
2.050,1.085E-3
2.100,1.119E-3
2.150,1.152E-3
2.200,1.186E-3
2.250,1.219E-3
2.300,1.253E-3
2.350,1.287E-3
2.400,1.321E-3
2.450,1.354E-3
2.500,1.388E-3
2.550,1.422E-3
2.600,1.456E-3
2.650,1.489E-3
2.700,1.523E-3
2.750,1.557E-3
2.800,1.591E-3
2.850,1.624E-3
2.900,1.658E-3
2.950,1.692E-3
3.000,1.726E-3
3.050,1.759E-3
3.100,1.793E-3
3.150,1.827E-3
3.200,1.861E-3
3.250,1.894E-3
3.300,1.928E-3
3.350,1.962E-3
3.400,1.996E-3
3.450,2.029E-3
3.500,2.063E-3
3.550,2.097E-3
3.600,2.130E-3
3.650,2.164E-3
3.700,2.198E-3
3.750,2.231E-3
3.800,2.265E-3
3.850,2.299E-3
3.900,2.332E-3
3.950,2.366E-3
4.000,2.400E-3
4.050,2.433E-3
4.100,2.467E-3
4.150,2.500E-3
4.200,2.534E-3
4.250,2.567E-3
4.300,2.601E-3
4.350,2.634E-3
4.400,2.668E-3
4.450,2.701E-3
4.500,2.735E-3
4.550,2.768E-3
4.600,2.802E-3
4.650,2.835E-3
4.700,2.869E-3
4.750,2.902E-3
4.800,2.936E-3
4.850,2.969E-3
4.900,3.002E-3
4.950,3.036E-3
5.000,3.069E-3
5.050,3.102E-3
5.100,3.136E-3
5.150,3.169E-3
5.200,3.202E-3
5.250,3.235E-3
5.300,3.269E-3
5.350,3.302E-3
5.400,3.335E-3
5.450,3.368E-3
5.500,3.402E-3
5.550,3.435E-3
5.600,3.468E-3
5.650,3.501E-3
5.700,3.534E-3
5.750,3.567E-3
5.800,3.601E-3
5.850,3.634E-3
5.900,3.667E-3
5.950,3.700E-3
6.000,3.733E-3
6.050,3.766E-3
6.100,3.799E-3
6.150,3.832E-3
6.200,3.865E-3
6.250,3.898E-3
6.300,3.931E-3
6.350,3.964E-3
6.400,3.997E-3
6.450,4.030E-3
6.500,4.063E-3
6.550,4.096E-3
6.600,4.129E-3
6.650,4.162E-3
6.700,4.194E-3
6.750,4.227E-3
6.800,4.260E-3
6.850,4.293E-3
6.900,4.326E-3
6.950,4.359E-3
7.000,4.392E-3
7.050,4.424E-3
7.100,4.457E-3
7.150,4.490E-3
7.200,4.523E-3
7.250,4.555E-3
7.300,4.588E-3
7.350,4.621E-3
7.400,4.654E-3
7.450,4.686E-3
7.500,4.719E-3
7.550,4.752E-3
7.600,4.784E-3
7.650,4.817E-3
7.700,4.850E-3
7.750,4.882E-3
7.800,4.915E-3
7.850,4.947E-3
7.900,4.980E-3
7.950,5.012E-3
8.000,5.045E-3
8.050,5.078E-3
8.100,5.110E-3
8.150,5.143E-3
8.200,5.175E-3
8.250,5.208E-3
8.300,5.240E-3
8.350,5.273E-3
8.400,5.305E-3
8.450,5.337E-3
8.500,5.370E-3
8.550,5.402E-3
8.600,5.435E-3
8.650,5.467E-3
8.700,5.499E-3
8.750,5.532E-3
8.800,5.564E-3
8.850,5.596E-3
8.900,5.629E-3
8.950,5.661E-3
9.000,5.693E-3
9.050,5.725E-3
9.100,5.758E-3
9.150,5.790E-3
9.200,5.822E-3
9.250,5.854E-3
9.300,5.886E-3
9.350,5.918E-3
9.400,5.950E-3
9.450,5.982E-3
9.500,6.014E-3
9.550,6.046E-3
9.600,6.078E-3
9.650,6.110E-3
9.700,6.142E-3
9.750,6.174E-3
9.800,6.206E-3
9.850,6.238E-3
9.900,6.269E-3
9.950,6.301E-3
10.00,6.333E-3
