vd (param),/M0/D vg 0.1  (A),/M0/D vg 0.15  (A),/M0/D vg 0.2  (A),/M0/D vg 0.25  (A),/M0/D vg 0.3  (A),/M0/D vg 0.35  (A),/M0/D vg 0.4  (A),/M0/D vg 0.45  (A),/M0/D vg 0.5  (A),/M0/D vg 0.55  (A),/M0/D vg 0.6  (A),/M0/D vg 0.65  (A),/M0/D vg 0.7  (A),/M0/D vg 0.75  (A),/M0/D vg 0.8  (A),/M0/D vg 0.85  (A),/M0/D vg 0.9  (A),/M0/D vg 0.95  (A),/M0/D vg 1  (A)
100.0E-3,103.6E-9,491.2E-9,2.116E-6,7.133E-6,17.00E-6,30.58E-6,46.07E-6,61.44E-6,73.51E-6,79.07E-6,80.91E-6,81.76E-6,82.26E-6,82.60E-6,82.84E-6,83.02E-6,83.16E-6,83.27E-6,83.36E-6
150.0E-3,116.2E-9,546.5E-9,2.315E-6,7.637E-6,18.01E-6,32.43E-6,49.38E-6,67.61E-6,85.83E-6,102.3E-6,114.1E-6,120.0E-6,121.2E-6,122.8E-6,123.6E-6,118.1E-6,119.3E-6,120.4E-6,121.1E-6
200.0E-3,128.6E-9,600.1E-9,2.501E-6,8.078E-6,18.78E-6,33.71E-6,51.40E-6,70.81E-6,91.04E-6,111.1E-6,130.0E-6,145.7E-6,156.4E-6,161.7E-6,162.8E-6,164.4E-6,157.7E-6,159.4E-6,160.8E-6
250.0E-3,141.3E-9,653.7E-9,2.680E-6,8.481E-6,19.47E-6,34.71E-6,52.91E-6,73.02E-6,94.28E-6,116.0E-6,137.5E-6,157.8E-6,175.9E-6,190.1E-6,199.1E-6,201.7E-6,204.7E-6,206.2E-6,199.5E-6
300.0E-3,154.3E-9,708.3E-9,2.857E-6,8.862E-6,20.08E-6,35.60E-6,54.11E-6,74.73E-6,96.66E-6,119.3E-6,142.2E-6,164.7E-6,186.2E-6,205.7E-6,222.4E-6,234.6E-6,242.0E-6,244.1E-6,246.7E-6
350.0E-3,167.9E-9,764.1E-9,3.034E-6,9.229E-6,20.65E-6,36.40E-6,55.19E-6,76.10E-6,98.55E-6,121.9E-6,145.6E-6,169.4E-6,192.7E-6,215.1E-6,235.8E-6,253.8E-6,268.6E-6,278.7E-6,282.9E-6
400.0E-3,182.0E-9,821.6E-9,3.212E-6,9.586E-6,21.18E-6,37.12E-6,56.14E-6,77.35E-6,100.1E-6,123.8E-6,148.3E-6,172.9E-6,197.4E-6,221.3E-6,244.4E-6,266.0E-6,285.3E-6,301.5E-6,313.3E-6
450.0E-3,196.8E-9,880.8E-9,3.391E-6,9.938E-6,21.70E-6,37.80E-6,57.01E-6,78.46E-6,101.5E-6,125.6E-6,150.4E-6,175.7E-6,201.0E-6,226.0E-6,250.5E-6,274.1E-6,296.4E-6,316.7E-6,334.3E-6
500.0E-3,212.2E-9,942.0E-9,3.573E-6,10.28E-6,22.19E-6,38.44E-6,57.82E-6,79.46E-6,102.7E-6,127.2E-6,152.3E-6,178.0E-6,203.7E-6,229.7E-6,255.2E-6,280.1E-6,304.2E-6,327.1E-6,348.1E-6
550.0E-3,228.4E-9,1.005E-6,3.756E-6,10.63E-6,22.67E-6,39.05E-6,58.57E-6,80.39E-6,103.9E-6,128.5E-6,154.0E-6,180.0E-6,206.3E-6,232.6E-6,259.0E-6,284.9E-6,310.2E-6,334.7E-6,358.0E-6
600.0E-3,245.2E-9,1.070E-6,3.942E-6,10.97E-6,23.14E-6,39.63E-6,59.28E-6,81.25E-6,104.9E-6,129.8E-6,155.5E-6,181.9E-6,208.5E-6,235.3E-6,262.0E-6,288.5E-6,315.0E-6,340.6E-6,365.4E-6
